Date,Transaction Type,Received Quantity,Received Currency,Sent Quantity,Sent Currency,Fee Currency,Fee Amount,Market Value,Source,Internal Transfer,External ID
2019-07-31T14:13:42.000Z,Income,1.2836,CDT,,,,,0.020190195347657255,Binance,FALSE,91cf6120-d932-4b95-a808-46d1828f1413
2019-08-01T07:40:33.000Z,Income,0.0872,ARN,,,,,0.022690890848599612,Binance,FALSE,9dae31dc-a53b-475e-9387-76eee15e47ef
2019-08-01T08:24:36.000Z,Income,4.3058,ONE,,,,,0.04596316410853575,Binance,FALSE,673bab34-c5b1-43c1-a152-cdc0e93cac37
2019-08-01T14:29:43.000Z,Income,0.2238,OAX,,,,,0.02311854,Binance,FALSE,d8ebae04-8d93-4f58-b859-cc0ab588d738
2019-08-01T15:58:20.000Z,Income,0.0028,KNC,,,,,0.0005778981414016186,Binance,FALSE,4a75acc0-b969-43c9-ab93-3dd14f50b3a5
2019-08-01T19:55:46.000Z,Income,0.000854,NXS,,,,,0.00025647346175178,Binance,FALSE,85549e66-489f-4ea0-9d3c-7652542b5bb2
2019-08-02T12:20:17.000Z,Income,1.8136,GO,,,,,0.023867971279281096,Binance,FALSE,bc59ea79-7e77-48c9-9fb3-40c715d58ab3
2019-08-02T14:16:11.000Z,Income,0.048,BAT,,,,,0.011468999239783412,Binance,FALSE,8ef2c225-7104-441e-9ff1-57cb8431d333
2019-08-02T22:44:17.000Z,Income,0.001674,XNO,,,,,0.0019273573161355212,Binance,FALSE,705250a7-851a-4427-ae36-f92bc3716d46
2019-08-03T01:50:38.000Z,Income,0.0000652,GAS,,,,,0.0001354331080164878,Binance,FALSE,0abce6fe-60c0-4f38-ab0f-60866fb8eb36
2019-08-12T10:45:41.000Z,Income,0.4294,GTO,,,,,0.007990110859983735,Binance,FALSE,3a9dbf5a-d87c-4790-9d93-98269821e899
2019-08-15T11:06:30.000Z,Income,0.00919256,USDT,,,,,0.009203964840162152,Binance,FALSE,a9c36004-4a6a-412b-96c1-8150680f6e73
2019-08-15T13:14:14.000Z,Income,0.018056,DUSK,,,,,0.0046187248000000005,Binance,FALSE,b743b1d1-a330-454d-b129-5d5a001995e0
2019-08-15T23:32:33.000Z,Income,0.0296,ZRX,,,,,0.005163193709914787,Binance,FALSE,cff40a9a-4f3d-4201-afb1-bd425b2de959
2019-08-15T23:35:30.000Z,Income,0.0194,MTH,,,,,0.00021914988437537688,Binance,FALSE,6ca17ef9-003d-458f-b8ac-4e450749828f
2019-08-15T23:53:27.000Z,Income,0.001,XRP,,,,,0.0002632,Binance,FALSE,9b94886a-e21f-43f7-84a8-d4c6798dfc92
2019-08-16T00:14:34.000Z,Income,0.000066,LTC,,,,,0.005043610920407672,Binance,FALSE,afe54a77-8345-477d-8923-ccca08b6391b
2019-08-16T00:35:30.000Z,Income,0.1108,ADA,,,,,0.005192220886120089,Binance,FALSE,b5ea1c58-4080-4cf3-96ba-4ee8cd7926f1
2019-08-16T07:53:27.000Z,Income,0.0001016,ZEC,,,,,0.004983568800216786,Binance,FALSE,ce8b910d-6caf-4184-9793-820789d214c8
2019-08-16T16:00:33.000Z,Income,0.0296,AGI,,,,,0.0010119080398226891,Binance,FALSE,8f82f52a-a9ab-408d-9312-0448e61b96e4
2019-08-20T19:41:01.000Z,Income,0.083,XLM,,,,,0.005746732387226678,Binance,FALSE,d7f0b40f-e314-4e09-8844-461724eec1d9
2019-08-20T22:14:09.000Z,Income,0.0466,VET,,,,,0.00021418427069818538,Binance,FALSE,93ac28e8-75aa-45c4-8aff-99f3c0581e52
2019-08-20T22:17:55.000Z,Income,0.000176,OMG,,,,,0.00021589151043429917,Binance,FALSE,0a7727ce-27ce-44aa-ac1e-4ccf14d46077
2019-08-21T07:48:44.000Z,Income,0.0002,ETC,,,,,0.0012265466732461424,Binance,FALSE,c8be0cb5-0c3c-467b-b691-6d4046a668a2
