Date and Time,Transaction Type,Sent Quantity,Sent Currency,Sending Source,Received Quantity,Received Currency,Receiving Destination,Fee,Fee Currency,Exchange Transaction ID,Blockchain Transaction Hash
2019-08-28T16:46:00.000Z,Income,,,,0.0001108,DGD,Binance,,,,
2019-08-28T18:09:03.000Z,Income,,,,0.24,VIB,Binance,,,,
2019-09-03T11:25:27.000Z,Income,,,,0.4858,QSP,Binance,,,,
2019-09-04T12:55:16.000Z,Income,,,,0.1306,PERL,Binance,,,,
2019-09-07T19:02:08.000Z,Income,,,,0.0336,BRD,Binance,,,,
2019-09-08T05:31:59.000Z,Income,,,,0.0204,STEEM,Binance,,,,
2019-09-09T19:05:32.000Z,Income,,,,0.0326,ARDR,Binance,,,,
2019-09-10T04:35:17.000Z,Income,,,,0.002576,GXS,Binance,,,,
2019-09-10T19:00:39.000Z,Income,,,,1.2,STORM,Binance,,,,
2019-09-11T13:21:11.000Z,Income,,,,0.5936,TNB,Binance,,,,
2019-09-12T19:48:13.000Z,Income,,,,0.12,ENJ,Binance,,,,
2019-09-13T14:07:05.000Z,Income,,,,0.0452,IOTA,Binance,,,,
2019-09-17T19:09:31.000Z,Income,,,,0.063,WABI,Binance,,,,
2019-09-18T22:18:23.000Z,Income,,,,0.9424,LEND,Binance,,,,
2019-09-19T02:30:01.000Z,Income,,,,0.045,BAND,Binance,,,,
2019-09-21T18:41:51.000Z,Income,,,,0.148,TOMO,Binance,,,,
2019-09-23T03:10:55.000Z,Income,,,,2.8916,WPR,Binance,,,,
2019-09-23T04:13:26.000Z,Income,,,,0.4014,AST,Binance,,,,
2019-09-23T14:08:10.000Z,Income,,,,0.0142,LOOM,Binance,,,,
2019-09-23T15:11:31.000Z,Income,,,,0.1782,RCN,Binance,,,,
2019-09-24T05:01:25.000Z,Income,,,,0.031116,GVT,Binance,,,,
2019-09-25T13:59:48.000Z,Income,,,,1.9096,LRC,Binance,,,,
2019-09-25T19:55:15.000Z,Income,,,,0.002632,USDC,Binance,,,,
2019-09-26T08:28:22.000Z,Income,,,,1.4124,XEM,Binance,,,,
2019-09-26T20:28:28.000Z,Income,,,,0.1804,DOCK,Binance,,,,
2019-09-27T08:50:04.000Z,Income,,,,0.1692,RVN,Binance,,,,
2019-09-28T13:29:24.000Z,Income,,,,0.1436,VIBE,Binance,,,,
2019-09-28T19:53:41.000Z,Income,,,,0.0758,ADX,Binance,,,,
2019-09-29T09:33:57.000Z,Income,,,,1.382,HBAR,Binance,,,,
2019-09-29T17:39:47.000Z,Income,,,,0.0188,ALGO,Binance,,,,
2019-10-01T01:03:30.000Z,Income,,,,0.0024,REQ,Binance,,,,
2019-10-01T01:13:53.000Z,Income,,,,0.000206,XZC,Binance,,,,
2019-10-02T08:55:40.000Z,Income,,,,5.184,ZIL,Binance,,,,
2019-10-02T21:44:49.000Z,Income,,,,0.0208,NAV,Binance,,,,
2019-10-02T21:56:02.000Z,Income,,,,0.0758,QLC,Binance,,,,
2019-10-02T23:25:53.000Z,Income,,,,0.002186,LUN,Binance,,,,
2019-10-03T12:20:10.000Z,Income,,,,0.1012,POA,Binance,,,,
2019-10-03T14:29:16.000Z,Income,,,,2.4938,YOYO,Binance,,,,
2019-10-03T14:30:54.000Z,Income,,,,0.0002,EDO,Binance,,,,
2019-10-03T15:42:28.000Z,Income,,,,0.05406739,VTHO,Binance,,,,
2019-10-04T20:58:09.000Z,Income,,,,0.1406,BQX,Binance,,,,
2019-10-05T22:20:31.000Z,Income,,,,0.091834,ONT,Binance,,,,
2019-10-07T16:24:18.000Z,Income,,,,0.2218,ENG,Binance,,,,
2019-10-07T23:20:03.000Z,Income,,,,0.9542,TFUEL,Binance,,,,
2019-10-07T23:54:11.000Z,Income,,,,1.62,IOTX,Binance,,,,
2019-10-08T13:06:10.000Z,Income,,,,0.18,MANA,Binance,,,,
2019-10-08T18:17:14.000Z,Income,,,,0.00953752,PAX,Binance,,,,
2019-10-08T20:30:15.000Z,Income,,,,0.00952981,TUSD,Binance,,,,
2019-10-09T23:51:29.000Z,Income,,,,5.626,SNGLS,Binance,,,,
2019-10-10T12:44:17.000Z,Income,,,,0.001,RDN,Binance,,,,
2019-10-11T02:54:16.000Z,Income,,,,1.5692,CELR,Binance,,,,
2019-10-11T21:33:39.000Z,Income,,,,0.008408,XTZ,Binance,,,,
2019-10-14T09:03:56.000Z,Income,,,,1.535,NKN,Binance,,,,
2019-10-14T14:37:06.000Z,Income,,,,0.034,IOST,Binance,,,,
2019-10-14T16:09:41.000Z,Income,,,,0.000346,NAS,Binance,,,,
2019-10-14T19:13:01.000Z,Income,,,,0.012,STORJ,Binance,,,,
2019-10-15T15:50:01.000Z,Income,,,,0.5966,FTM,Binance,,,,
2019-10-21T09:41:47.000Z,Income,,,,0.28,CHZ,Binance,,,,
2019-10-21T09:46:26.000Z,Income,,,,0.101,APPC,Binance,,,,
2019-10-22T03:24:52.000Z,Income,,,,0.14674,CVC,Binance,,,,
2019-10-23T04:37:02.000Z,Income,,,,0.0128,NULS,Binance,,,,
2019-10-25T02:17:07.000Z,Income,,,,0.0134,KAVA,Binance,,,,
2019-10-25T04:00:14.000Z,Income,,,,0.013,STX,Binance,,,,
2019-10-25T09:53:56.000Z,Income,,,,0.0024,STRAT,Binance,,,,
2019-10-26T02:41:13.000Z,Income,,,,604.506,NPXS,Binance,,,,
2019-10-26T18:33:25.000Z,Income,,,,1.6016,ERD,Binance,,,,
2019-10-29T13:30:18.000Z,Income,,,,0.0057277,QTUM,Binance,,,,
2019-10-29T23:06:47.000Z,Income,,,,0.01804,RLC,Binance,,,,
2019-10-30T02:53:03.000Z,Income,,,,0.0412993,INS,Binance,,,,
2019-10-30T09:11:49.000Z,Income,,,,0.00000328,BCHABC,Binance,,,,
2019-10-31T22:51:00.000Z,Income,,,,0.000123,WIN,Binance,,,,
2019-11-02T10:46:01.000Z,Income,,,,36.2891,DENT,Binance,,,,
2019-11-02T12:49:22.000Z,Income,,,,2.84499,ANKR,Binance,,,,
2019-11-03T19:09:10.000Z,Income,,,,0.033456,AION,Binance,,,,
2019-11-04T02:25:49.000Z,Income,,,,1.28863,HOT,Binance,,,,
2019-11-06T14:47:36.000Z,Income,,,,2.198871,ARPA,Binance,,,,
2019-11-08T23:15:12.000Z,Income,,,,0.1681,BLZ,Binance,,,,
2019-11-10T10:26:23.000Z,Income,,,,0.0535009,BEAM,Binance,,,,
2019-11-14T18:45:31.000Z,Income,,,,0.0013612,ZEN,Binance,,,,
2019-11-20T23:04:23.000Z,Income,,,,117.06771,KEY,Binance,,,,
2019-11-22T14:00:50.000Z,Income,,,,0.24395,CTXC,Binance,,,,
2019-11-26T13:03:44.000Z,Income,,,,0.02747,PIVX,Binance,,,,
2019-11-27T20:34:13.000Z,Income,,,,0.02609932,USDS,Binance,,,,
2019-11-28T07:35:02.000Z,Income,,,,0.00505836,BCH,Binance,,,,
2019-11-28T20:10:53.000Z,Income,,,,0.0171298,WAVES,Binance,,,,
2019-12-01T09:04:31.000Z,Income,,,,72.2051,MFT,Binance,,,,
2019-12-05T03:00:21.000Z,Income,,,,0.41205,TROY,Binance,,,,
2019-12-05T21:22:40.000Z,Income,,,,0.9471,XVG,Binance,,,,
2019-12-05T23:25:18.000Z,Income,,,,0.08405,FET,Binance,,,,
2019-12-06T12:27:14.000Z,Income,,,,0.71135,MITH,Binance,,,,
2019-12-09T03:18:03.000Z,Income,,,,0.07667,BTS,Binance,,,,
2019-12-12T09:53:19.000Z,Income,,,,0.205,OST,Binance,,,,
2020-01-01T21:05:19.000Z,Income,,,,0.02665,PPT,Binance,,,,
2020-01-02T06:41:34.000Z,Income,,,,0.49815,POLY,Binance,,,,
2020-01-08T17:10:44.000Z,Income,,,,0.05207,ARK,Binance,,,,
2020-01-08T17:14:14.000Z,Income,,,,0.10783,AE,Binance,,,,
2020-01-08T18:38:27.000Z,Income,,,,0.3813,CMT,Binance,,,,
2020-01-09T03:00:47.000Z,Income,,,,0.01066,OGN,Binance,,,,
2020-01-11T20:14:42.000Z,Income,,,,0.0006191,FTT,Binance,,,,
2020-01-16T05:32:24.000Z,Income,,,,0.12451179,RUB,Binance,,,,
2020-01-16T19:09:08.000Z,Income,,,,0.95817,DREP,Binance,,,,
2020-01-22T12:43:02.000Z,Income,,,,0.00223642,TRY,Binance,,,,
2020-01-22T12:54:28.000Z,Income,,,,0.00769312,EUR,Binance,,,,
2020-01-22T14:36:52.000Z,Income,,,,1.15292,GNT,Binance,,,,
2020-01-23T12:14:49.000Z,Income,,,,2.715225,VITE,Binance,,,,
2020-01-23T20:10:09.000Z,Income,,,,0.0393518,LSK,Binance,,,,
2020-02-05T02:03:09.000Z,Income,,,,0.01802,WRX,Binance,,,,
2020-02-07T07:45:40.000Z,Income,,,,1.1062,FUN,Binance,,,,
2020-02-07T14:22:21.000Z,Income,,,,0.2869,LTO,Binance,,,,
2020-02-10T10:04:55.000Z,Income,,,,1.2938,SNT,Binance,,,,
2020-02-11T20:15:56.000Z,Income,,,,0.027726,BUSD,Binance,,,,
2020-02-12T13:12:18.000Z,Income,,,,0.00005056,XRPBULL,Binance,,,,
2020-02-13T10:18:57.000Z,Income,,,,0.00021806,EOSBEAR,Binance,,,,
